date,Open,High,Low,Close,Volume
2023-09-01 08:00:00,188.32,188.32,188.15,188.23,10907.0
2023-09-01 09:00:00,188.28,188.5,188.28,188.36,21148.0
2023-09-01 10:00:00,188.37,188.63,188.35,188.46,15193.0
2023-09-01 11:00:00,188.49,188.7,188.45,188.46,51830.0
2023-09-01 12:00:00,188.65,189.39,188.03,189.18,620256.0
2023-09-01 13:00:00,189.18,189.92,188.28,188.94,6621216.0
2023-09-01 14:00:00,188.92,189.49,188.311,188.4,7533616.0
2023-09-01 15:00:00,188.4,188.895,188.35,188.525,4240471.0
2023-09-01 16:00:00,188.51,189.27,188.4801,189.175,4031259.0
2023-09-01 17:00:00,189.17,189.32,188.85,189.17,2851110.0
2023-09-01 18:00:00,189.175,189.2,188.52,188.8899,3366469.0
2023-09-01 19:00:00,188.88,189.54,188.75,189.47,6646072.0
2023-09-01 20:00:00,189.45,189.46,189.01,189.24,1423319.0
2023-09-01 21:00:00,189.23,189.24,189.14,189.22,41370.0
2023-09-01 22:00:00,189.218,189.34,189.19,189.25,13832.0
2023-09-01 23:00:00,189.25,189.3,189.2,189.2999,17654.0
2023-09-05 08:00:00,188.5,189.2,187.31,187.65,83863.0
2023-09-05 09:00:00,187.66,188.0,187.6,187.68,36163.0
2023-09-05 10:00:00,187.66,187.79,187.54,187.6,63397.0
2023-09-05 11:00:00,187.65,187.88,187.47,187.78,108960.0
2023-09-05 12:00:00,187.53,189.75,187.45,187.67,600770.0
2023-09-05 13:00:00,187.67,188.63,187.2,188.06,8243982.0
2023-09-05 14:00:00,188.06,189.31,187.82,189.05,7895889.0
2023-09-05 15:00:00,189.06,189.61,188.98,189.4,5827897.0
2023-09-05 16:00:00,189.409,189.81,189.3702,189.64,4016969.0
2023-09-05 17:00:00,189.65,189.6999,189.16,189.435,2626846.0
2023-09-05 18:00:00,189.44,189.95,189.32,189.94,3037844.0
2023-09-05 19:00:00,189.93,189.98,189.47,189.7,6301918.0
2023-09-05 20:00:00,189.7,189.78,189.51,189.56,950596.0
2023-09-05 21:00:00,189.55,189.59,189.54,189.55,14615.0
2023-09-05 22:00:00,189.55,189.73,189.5,189.73,27949.0
2023-09-05 23:00:00,189.7,189.75,189.53,189.7,24606.0
2023-09-06 08:00:00,188.8,188.8,188.02,188.2,62774.0
2023-09-06 09:00:00,188.16,188.46,188.13,188.44,29289.0
2023-09-06 10:00:00,188.4,188.48,188.21,188.38,40498.0
2023-09-06 11:00:00,188.48,188.82,188.38,188.5,124557.0
2023-09-06 12:00:00,188.46,189.5,188.15,188.4,320337.0
2023-09-06 13:00:00,188.37,188.85,186.5,186.54,9232747.0
2023-09-06 14:00:00,186.53,186.53,183.93,184.0188,16373172.0
2023-09-06 15:00:00,184.02,184.31,183.53,184.15,7900776.0
2023-09-06 16:00:00,184.145,184.32,182.8,183.115,7273540.0
2023-09-06 17:00:00,183.115,183.42,182.67,182.9699,6277740.0
2023-09-06 18:00:00,182.9656,183.01,182.13,182.2,7704140.0
2023-09-06 19:00:00,182.19,183.02,181.47,182.9,17505663.0
2023-09-06 20:00:00,182.9,183.0,182.73,182.75,1691296.0
